audit_id,position_id,mint_address,entry_at,exit_at,entry_price,exit_price,net_return_pct,entry_liquidity_usd,exit_liquidity_usd,entry_market_cap,opened_at,entry_rank,entry_volume_24h,snapshot_liquidity_usd,mfe_pct,mae_pct,mfe_time,mae_time,is_collapse,path_length,volume_24h_to_liquidity
d9f7221c-ade2-4b28-a84e-3227943a9f1a,180cc688-1e4f-436a-a2ef-90578dd40b89,kpmhzGSYni1ta6Crc1xRDne2g7NTuEmmNJpDxwvpump,2026-08-05 06:34:19.840157+00:00,2026-08-06 11:25:16.898932+00:00,0.004034,0.00424125,4.2342,144330.27,147953.13,4031120.0,2026-08-05 06:34:19.840157+00:00,1,227605.37,144330.27,40.18344075359445,-12.394645513138334,2026-08-06 11:08:34.810716+00:00,2026-08-05 10:17:41.751108+00:00,False,983.0,1.576975987088502
e1418f0d-c1a5-48bb-9087-9a24bc72e5dd,bef53aa1-cbfc-4c8d-985b-4552dcead4e8,7C17GMDWxy2wCggRXEKKeTY21B84mT9vv9c6b1vTpump,2026-08-06 07:45:00.387918+00:00,2026-08-06 11:59:55.150656+00:00,5.257e-05,5.51775e-05,1.9998,17751.29,18079.84,50841.0,2026-08-06 07:45:00.387918+00:00,13,342024.4,17751.29,39.94673768308922,-11.793798744531104,2026-08-06 11:31:04.669711+00:00,2026-08-06 09:57:33.630594+00:00,False,182.0,19.267579989961295
cc748785-56c5-472d-83fd-882d7664be8d,3fd2dfe8-c28b-418e-b472-3874d49cd6e9,6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,2026-08-06 01:48:55.560726+00:00,2026-08-06 15:36:50.945462+00:00,6.958e-05,6.42225e-05,-9.8529,24160.83,22765.25,64938.0,2026-08-06 01:48:55.560726+00:00,11,84812.25,24160.83,23.06697326818053,-11.655648174762847,2026-08-06 07:47:54.957454+00:00,2026-08-06 04:24:16.095871+00:00,False,389.0,3.510320216648186
f65fc7d7-8fe7-4296-8597-62ad05044fee,ca21a662-3a25-4dc4-8098-e5e6894b1a8e,Tt9EtDDyen6ow6aqxSHyYcj9oRb7zuZkvkDigbDpump,2026-08-05 06:34:19.840157+00:00,2026-08-06 16:26:34.887175+00:00,0.0001959,0.000147675,-26.1388,41908.2,21930.35,193104.0,2026-08-05 06:34:19.840157+00:00,9,4558.34,41908.2,0.5104645227156699,-88.64726901480347,2026-08-05 07:04:15.934416+00:00,2026-08-06 14:03:18.160458+00:00,True,1015.0,0.10876964412692505
13c83fb2-bbfd-4526-a486-afbb41982c23,bfac5fb6-6b40-4e3b-891a-b09405e50620,3VFnDoACa991DYe987w354sbvmhqjjzC4Z31SoZepump,2026-08-06 12:54:22.398156+00:00,2026-08-06 16:37:12.227358+00:00,8.358e-05,8.4675e-05,-0.6306,30143.42,30488.41,80626.0,2026-08-06 12:54:22.398156+00:00,6,119448.56,30143.42,35.080162718353684,-23.797559224694904,2026-08-06 14:03:19.868553+00:00,2026-08-06 13:27:26.039124+00:00,False,118.0,3.962674441055461
3f851ce8-e4d4-4ff2-b1f8-15c19e02f626,290e09f2-8995-4e97-a5bc-baf198bdbc76,ANWSnRAdxuzsReerVCHSVLzYoFn8P4husnfufBBxpump,2026-08-06 16:40:00.069435+00:00,2026-08-06 16:45:19.123561+00:00,5.37e-06,4.68525e-06,-22.5206,3984.27,3635.55,5059.0,2026-08-06 16:40:00.069435+00:00,8,65547.3,3984.27,16.331471135940397,-12.830540037243956,2026-08-06 16:40:15.378564+00:00,2026-08-06 16:45:19.123561+00:00,False,20.0,16.451520604778292
c1d9dd31-7ca5-436f-b84f-7bd9e867e789,015da949-1330-4fab-9f44-f8d483b59445,HB7MPRYpegrJaJtsZvrXAEHx5kxdehiQQUNneVLnpump,2026-08-05 18:59:58.079243+00:00,2026-08-06 17:10:30.051680+00:00,9.191e-05,7.575e-05,-19.4476,26887.37,23662.9,88374.0,2026-08-05 18:59:58.079243+00:00,12,62240.1,26887.37,9.890109890109885,-20.87912087912089,2026-08-05 23:14:42.872851+00:00,2026-08-06 17:10:30.051680+00:00,False,664.0,2.314845222868581
c31b9e82-eb3d-4a3b-9a7d-24cdac700f43,580bfbea-3b32-4553-b89a-4992126c17d7,Ef4E8vBoosFWhxXWqRHQAsXiuuAbocrN9PnpgHNrpump,2026-08-06 16:50:00.032392+00:00,2026-08-06 17:23:57.038329+00:00,5.92e-05,5.95275e-05,-2.1329,19413.4,19181.67,56142.0,2026-08-06 16:50:00.032392+00:00,5,216035.43,19413.4,34.07094594594593,-3.2939189189189184,2026-08-06 17:17:16.519855+00:00,2026-08-06 16:50:36.559238+00:00,False,126.0,11.128160445877588
bedd4bc3-25d0-4880-9946-ce4461354716,0354fde2-22a6-45b2-9eed-a3d59ff2677b,2tBjFsno9tdkX7AhZ9uehAet5o8GninkrqDYZZYUpump,2026-08-06 17:25:00.017192+00:00,2026-08-06 17:27:54.334724+00:00,8.563e-05,8.22e-05,-6.5072,20319.48,19830.86,85477.0,2026-08-06 17:25:00.017192+00:00,1,305425.6,20319.48,27.992525983884136,-5.115029779282971,2026-08-06 17:25:46.962258+00:00,2026-08-06 17:27:54.334724+00:00,False,11.0,15.031172057552654
5fcc24e1-7968-4ea6-ada0-7d04043de777,8db71e5b-d8e2-42c7-aab4-fc2172a18797,EJFseq4RFonjh9u6bzYLFynJin9WLKHF7jCgVoSXpump,2026-08-06 17:15:00.519576+00:00,2026-08-06 17:44:16.189254+00:00,4.283e-05,3.39225e-05,-23.2742,18266.44,14859.31,42834.0,2026-08-06 17:15:00.519576+00:00,5,28453.94,18266.44,5.603548914312392,-30.11907541442914,2026-08-06 17:21:51.154672+00:00,2026-08-06 17:44:16.189254+00:00,False,76.0,1.5577167745877138
